Regime,Mean Return (daily),Median Return (daily),Volatility (daily),Ann. Volatility,Ann. Sharpe,Max Drawdown,Avg Duration (days),Frequency (%),N Observations
High Volatility / Crisis,0.00363228799454565,0.0018541208043094972,0.024178009765855404,0.38381400622166645,2.384844116649729,-0.11562172776840988,21.23076923076923,10.25260029717682,276
Ranging / Sideways,0.00030170735611495677,0.0003013788111542381,0.010731811392852154,0.17036222437641899,0.44628587129138814,-0.26317795170947345,7.428571428571429,34.76968796433878,936
Trending Bear,-0.0014786159689935568,-0.0010626152605345243,0.023672600769562617,0.3757908871342736,-0.9915387438685782,-0.6997169616061718,4.12396694214876,18.536404160475485,499
Trending Bull,0.0017589345199126754,0.0010894928121699809,0.01296162877537415,0.2057594779558721,2.1542215377949954,-0.11245621901523263,20.4375,36.44130757800891,981
