regime,train_freq,test_freq,abs_diff
High Volatility / Crisis,0.10248793167471222,0.01263001485884101,0.08985791681587121
Ranging / Sideways,0.3475677682881545,0.4160475482912333,0.0684797800030788
Trending Bear,0.18566654288897141,0.1426448736998514,0.04302166918912001
Trending Bull,0.3642777571481619,0.42867756315007427,0.06439980600191236
