Regime,Mean Return (daily),Median Return (daily),Volatility (daily),Ann. Volatility,Ann. Sharpe,Max Drawdown,Avg Duration (days),Frequency (%),N Observations
High Volatility / Crisis,0.0012104296290536016,0.0007867568596592308,0.01797921824458831,0.28541124145521557,1.0687324891839278,-0.22091001688024836,16.18918918918919,14.83040356523892,599
Ranging / Sideways,0.0004892723310117062,0.00034256006426084404,0.012282635231511197,0.1949807896025933,0.6323526931358272,-0.29131320132662536,26.02857142857143,45.11017578608566,1822
Trending Bear,-0.003327018949771916,-0.00021456723303568215,0.043975616479893107,0.6980912697393048,-1.2010016622262274,-0.7372035944265475,1.7692307692307692,6.833374597672691,276
Trending Bull,0.0007495645563765741,0.0007104041054986638,0.012049854769220159,0.19128551432281288,0.9874781625550905,-0.16079199180680562,9.384615384615385,33.226046051002726,1342
