,High Volatility / Crisis,Ranging / Sideways,Trending Bear,Trending Bull
High Volatility / Crisis,0.9528985507246377,0.025362318840579712,0.010869565217391304,0.010869565217391304
Ranging / Sideways,0.0,0.8653846153846154,0.08974358974358974,0.04487179487179487
Trending Bear,0.02,0.216,0.758,0.006
Trending Bull,0.003061224489795918,0.011224489795918367,0.0336734693877551,0.9520408163265306
